PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyVol,DlyLow,DlyHigh,DlyOpen
10107,59491810,MSFT,8048,2020-01-02,160.620000,22610236,158.330000,160.730000,158.780000
10107,59491810,MSFT,8048,2020-01-03,158.620000,21099013,158.060000,159.945000,158.320000
10107,59491810,MSFT,8048,2020-01-06,159.030000,21156101,156.510000,159.100000,157.080000
10107,59491810,MSFT,8048,2020-01-07,157.580000,21844325,157.320000,159.670000,159.320000
10107,59491810,MSFT,8048,2020-01-08,160.090000,27722052,157.949100,160.800000,158.930000
10107,59491810,MSFT,8048,2020-01-09,162.090000,21375474,161.030000,162.215000,161.835000
10107,59491810,MSFT,8048,2020-01-10,161.340000,20709064,161.180000,163.220000,162.824000
10107,59491810,MSFT,8048,2020-01-13,163.280000,21611045,161.260000,163.310000,161.760000
10107,59491810,MSFT,8048,2020-01-14,162.130000,23469298,161.720000,163.600000,163.390000
10107,59491810,MSFT,8048,2020-01-15,163.180000,21377516,162.570000,163.940000,162.620000
10107,59491810,MSFT,8048,2020-01-16,166.170000,23832244,164.030000,166.240000,164.350000
10107,59491810,MSFT,8048,2020-01-17,167.100000,34329131,165.430000,167.467500,167.420000
10107,59491810,MSFT,8048,2020-01-21,166.500000,29508859,166.430000,168.190000,166.680000
10107,59491810,MSFT,8048,2020-01-22,165.700000,24078931,165.680000,167.490000,167.400000
10107,59491810,MSFT,8048,2020-01-23,166.720000,19641745,165.270000,166.800000,166.190000
10107,59491810,MSFT,8048,2020-01-24,165.040000,24874100,164.450000,167.530000,167.510000
10107,59491810,MSFT,8048,2020-01-27,162.280000,32041875,160.200000,163.375000,161.150000
10107,59491810,MSFT,8048,2020-01-28,165.460000,24869337,163.073000,165.755000,163.780000
10107,59491810,MSFT,8048,2020-01-29,168.040000,35087464,165.690000,168.750000,167.840000
10107,59491810,MSFT,8048,2020-01-30,172.780000,51495353,170.790000,174.050000,174.050000
10107,59491810,MSFT,8048,2020-01-31,170.230000,36101415,169.580000,172.400000,172.210000
10107,59491810,MSFT,8048,2020-02-03,174.380000,30077416,170.400000,174.500000,170.430000
10107,59491810,MSFT,8048,2020-02-04,180.120000,36366707,176.310000,180.640000,177.140000
10107,59491810,MSFT,8048,2020-02-05,179.900000,39122301,178.410100,184.200000,184.030000
10107,59491810,MSFT,8048,2020-02-06,183.630000,27718679,180.059000,183.819900,180.970000
10107,59491810,MSFT,8048,2020-02-07,183.890000,33491903,182.480000,185.630000,182.845000
